DATE,CLVMNACSCAB1GQES
1995-01-01,176473.9
1995-04-01,177568.5
1995-07-01,178285.3
1995-10-01,179640.3
1996-01-01,180702.1
1996-04-01,182036.3
1996-07-01,183596.2
1996-10-01,184575.4
1997-01-01,186449.5
1997-04-01,188140.6
1997-07-01,190378.5
1997-10-01,193004.1
1998-01-01,194695.2
1998-04-01,196891.3
1998-07-01,198751.4
1998-10-01,200934.7
1999-01-01,202940.9
1999-04-01,205347.8
1999-07-01,208077.8
1999-10-01,210438.0
2000-01-01,213804.3
2000-04-01,216481.6
2000-07-01,218818.0
2000-10-01,221072.8
2001-01-01,223420.0
2001-04-01,225071.4
2001-07-01,227169.1
2001-10-01,228740.9
2002-01-01,229714.2
2002-04-01,231586.2
2002-07-01,233013.9
2002-10-01,234786.5
2003-01-01,236971.7
2003-04-01,238206.5
2003-07-01,239777.3
2003-10-01,241850.1
2004-01-01,243308.6
2004-04-01,245685.7
2004-07-01,247996.1
2004-10-01,249693.2
2005-01-01,252130.9
2005-04-01,254354.9
2005-07-01,256814.5
2005-10-01,259418.3
2006-01-01,262388.9
2006-04-01,264932.0
2006-07-01,267393.6
2006-10-01,269964.5
2007-01-01,272434.1
2007-04-01,274875.8
2007-07-01,276983.4
2007-10-01,278764.0
2008-01-01,279365.5
2008-04-01,279670.7
2008-07-01,279155.7
2008-10-01,274650.1
2009-01-01,267494.0
2009-04-01,267465.2
2009-07-01,268029.9
2009-10-01,267975.2
2010-01-01,267899.6
2010-04-01,268301.3
2010-07-01,268164.1
2010-10-01,268344.0
2011-01-01,267925.5
2011-04-01,267076.4
2011-07-01,265345.6
2011-10-01,263624.7
2012-01-01,261154.1
2012-04-01,258643.8
2012-07-01,257325.5
2012-10-01,255363.0
2013-01-01,254546.8
2013-04-01,254324.1
2013-07-01,254184.9
2013-10-01,254608.4
2014-01-01,255544.0
2014-04-01,256728.0
2014-07-01,258627.9
2014-10-01,260847.9
2015-01-01,263841.4
2015-04-01,266671.8
2015-07-01,269098.6
2015-10-01,271706.3
2016-01-01,273547.6
2016-04-01,274694.8
2016-07-01,277131.6
2016-10-01,278419.0
2017-01-01,280629.1
2017-04-01,283642.5
2017-07-01,285279.9
2017-10-01,287064.4
2018-01-01,288642.2
2018-04-01,290144.4
2018-07-01,291916.0
2018-10-01,293533.6
2019-01-01,295066.6
2019-04-01,296182.1
2019-07-01,297229.9
2019-10-01,298462.7
2020-01-01,282441.5
2020-04-01,232204.6
2020-07-01,271801.8
2020-10-01,271839.6
2021-01-01,270655.5
2021-04-01,278141.7
